establishment_id,name,state,district,industry_sector,hazardous_process,worker_count,contract_worker_ratio,female_worker_ratio,wage_violation_count,ot_violation_count,deduction_violation_count,missing_register_count,ghost_worker_count,uncompensated_worker_count,disbursement_mismatch_count,inspection_history_violations,grievance_complaint_count,ground_truth_risk_score,ground_truth_inspection_priority
EST-0046,Kalyan Components India,Maharashtra,Pune,Construction & Infrastructure,False,138,0.676,0.215,7,0,0,0,0,0,0,0,0,98.5,HIGH
EST-0047,Pinnacle Processing Co.,Tamil Nadu,Sriperumbudur,Construction & Infrastructure,True,47,0.468,0.076,2,0,4,0,0,0,0,0,0,98.5,HIGH
EST-0048,Navkar Fabrics & Garments,Uttar Pradesh,Kanpur,Automobile & Auto Components,True,48,0.68,0.16,0,2,0,0,0,0,0,0,0,43.2,LOW
EST-0049,Swastik Industries Ltd.,Uttar Pradesh,Noida,Electronics & Precision Fabrication,False,16,0.309,0.661,0,0,0,0,0,0,0,0,0,22.3,LOW
EST-0050,Shree Fabrics & Garments,Karnataka,Peenya,Automobile & Auto Components,False,70,0.384,0.083,0,0,0,0,0,0,0,0,0,31.4,LOW
EST-0051,Tata Manufacturing Corp,Tamil Nadu,Sriperumbudur,Chemical & Hazardous Processing,True,140,0.549,0.119,2,0,0,0,0,0,0,0,0,75.3,HIGH
EST-0052,Pinnacle Manufacturing Corp,Haryana,Gurugram,Automobile & Auto Components,False,257,0.502,0.152,0,0,0,0,0,0,0,0,0,42.5,LOW
EST-0053,Surya Fabrics & Garments,Tamil Nadu,Sriperumbudur,Automobile & Auto Components,False,26,0.418,0.276,0,2,0,0,0,0,0,0,0,44.2,LOW
EST-0054,Premier Fabrics & Garments,Maharashtra,Thane,Construction & Infrastructure,True,234,0.475,0.136,0,0,1,0,0,0,0,0,0,66.3,MEDIUM
EST-0055,Tata Synthetics Ltd,Karnataka,Peenya,Warehousing & Supply Chain Logistics,False,110,0.371,0.075,0,1,0,0,0,0,0,2,0,53.1,MEDIUM
EST-0056,Apex Synthetics Ltd,Gujarat,Vadodara,Warehousing & Supply Chain Logistics,False,117,0.542,0.155,0,0,0,0,0,0,0,1,0,46.5,MEDIUM
EST-0057,Shree Components India,Uttar Pradesh,Noida,Warehousing & Supply Chain Logistics,False,82,0.394,0.272,0,0,0,0,0,0,0,0,0,41.5,LOW
EST-0058,Zenith Processing Co.,Karnataka,Peenya,Electronics & Precision Fabrication,False,28,0.63,0.738,0,0,1,0,0,0,0,0,0,30.0,LOW
EST-0059,Tata Manufacturing Corp,Haryana,Gurugram,"Textile, Garments & Apparel",False,77,0.743,0.456,1,0,2,0,0,0,0,0,0,62.6,MEDIUM
EST-0060,Vanguard Industries Ltd.,Maharashtra,Thane,Chemical & Hazardous Processing,True,60,0.561,0.192,0,0,0,0,0,0,0,2,0,68.9,MEDIUM
EST-0061,Navkar Engineering Works,Haryana,Gurugram,Automobile & Auto Components,False,60,0.776,0.229,1,0,0,0,0,0,0,3,0,52.0,MEDIUM
EST-0062,Bharat Components India,Karnataka,Bengaluru Urban,Food Processing & Agro Industries,False,62,0.415,0.081,0,0,0,0,0,0,0,0,0,33.8,LOW
EST-0063,Zenith Manufacturing Corp,Haryana,Panipat,Warehousing & Supply Chain Logistics,True,74,0.457,0.284,0,0,2,0,0,0,0,0,0,50.0,MEDIUM
EST-0064,Swastik Enterprises Pvt Ltd,Haryana,Panipat,Chemical & Hazardous Processing,True,116,0.674,0.248,1,2,0,0,0,0,3,0,0,98.5,HIGH
EST-0065,Zenith Industries Ltd.,Gujarat,Vadodara,Food Processing & Agro Industries,False,21,0.612,0.232,0,0,0,0,0,0,0,0,0,28.0,LOW
EST-0066,Zenith Processing Co.,Maharashtra,Thane,Automobile & Auto Components,True,109,0.697,0.258,0,0,0,0,0,0,0,0,0,38.9,LOW
EST-0067,Shree Fabrics & Garments,Uttar Pradesh,Noida,Chemical & Hazardous Processing,True,215,0.31,0.058,0,2,0,0,0,0,0,0,0,73.8,HIGH
EST-0068,Shakti Enterprises Pvt Ltd,Karnataka,Bengaluru Urban,Construction & Infrastructure,True,36,0.672,0.215,2,1,0,0,0,0,2,2,0,98.5,HIGH
EST-0069,Tata Fabrics & Garments,Maharashtra,Thane,Chemical & Hazardous Processing,True,37,0.364,0.232,0,2,0,0,0,0,0,0,0,74.1,HIGH
EST-0070,Bharat Processing Co.,Haryana,Gurugram,Food Processing & Agro Industries,False,283,0.253,0.186,0,0,0,0,0,1,0,3,0,55.8,MEDIUM
EST-0071,Sterling Enterprises Pvt Ltd,Haryana,Gurugram,"Textile, Garments & Apparel",False,49,0.401,0.615,2,0,0,0,0,0,0,0,0,60.5,MEDIUM
EST-0072,Kalyan Processing Co.,Maharashtra,Pune,Automobile & Auto Components,False,64,0.314,0.315,0,0,0,0,0,0,0,0,0,31.6,LOW
EST-0073,Swastik Enterprises Pvt Ltd,Karnataka,Bengaluru Urban,Construction & Infrastructure,True,93,0.533,0.206,4,4,0,0,0,0,0,0,0,98.5,HIGH
EST-0074,Bharat Synthetics Ltd,Haryana,Panipat,Electronics & Precision Fabrication,False,61,0.217,0.609,1,0,0,0,0,0,0,0,0,35.7,LOW
EST-0075,Vanguard Industries Ltd.,Haryana,Gurugram,"Textile, Garments & Apparel",False,115,0.462,0.576,0,0,0,0,0,0,0,0,0,49.0,MEDIUM
EST-0076,Kalyan Synthetics Ltd,Haryana,Panipat,Food Processing & Agro Industries,False,279,0.312,0.291,0,0,0,1,0,0,0,0,0,40.6,LOW
EST-0077,Delta Synthetics Ltd,Uttar Pradesh,Kanpur,Warehousing & Supply Chain Logistics,False,76,0.586,0.319,0,0,0,0,1,0,0,0,0,49.7,MEDIUM
EST-0078,Swastik Manufacturing Corp,Karnataka,Bengaluru Urban,Chemical & Hazardous Processing,True,174,0.225,0.091,0,0,1,0,0,0,0,0,0,67.0,MEDIUM
EST-0079,Navkar Industries Ltd.,Gujarat,Surat,Chemical & Hazardous Processing,True,102,0.335,0.349,1,0,0,0,0,0,0,3,0,78.8,HIGH
EST-0080,Delta Manufacturing Corp,Uttar Pradesh,Noida,Food Processing & Agro Industries,True,213,0.234,0.106,0,0,0,0,0,0,0,0,0,33.2,LOW
EST-0081,Pinnacle Enterprises Pvt Ltd,Haryana,Gurugram,Food Processing & Agro Industries,False,69,0.41,0.149,0,0,0,0,0,0,0,0,0,33.4,LOW
EST-0082,Navkar Enterprises Pvt Ltd,Uttar Pradesh,Kanpur,Electronics & Precision Fabrication,False,63,0.322,0.665,0,0,0,0,0,0,0,0,0,25.2,LOW
EST-0083,Sterling Enterprises Pvt Ltd,Karnataka,Bengaluru Urban,Warehousing & Supply Chain Logistics,True,31,0.586,0.184,0,1,0,0,0,0,0,0,0,42.6,LOW
EST-0084,Shree Industries Ltd.,Haryana,Gurugram,Chemical & Hazardous Processing,True,45,0.4,0.322,1,0,0,0,0,0,0,0,0,70.3,HIGH
EST-0085,Bharat Industries Ltd.,Tamil Nadu,Sriperumbudur,Electronics & Precision Fabrication,False,298,0.434,0.454,2,0,1,0,0,0,0,0,0,51.6,MEDIUM
EST-0086,Apex Engineering Works,Uttar Pradesh,Noida,Warehousing & Supply Chain Logistics,True,146,0.528,0.137,0,0,1,0,0,0,0,0,0,42.8,LOW
EST-0087,Apex Manufacturing Corp,Gujarat,Surat,Chemical & Hazardous Processing,True,112,0.558,0.095,2,3,1,0,0,0,0,0,0,97.9,HIGH
EST-0088,Shree Processing Co.,Tamil Nadu,Sriperumbudur,Chemical & Hazardous Processing,True,122,0.412,0.218,3,4,3,0,5,0,0,2,0,98.5,HIGH
EST-0089,Sterling Fabrics & Garments,Haryana,Gurugram,Construction & Infrastructure,True,39,0.364,0.324,0,0,0,0,0,0,0,0,0,63.6,MEDIUM
EST-0090,Vanguard Processing Co.,Haryana,Gurugram,Food Processing & Agro Industries,False,300,0.483,0.188,0,0,0,1,0,0,0,0,0,41.7,LOW
EST-0091,Apex Industries Ltd.,Maharashtra,Thane,Electronics & Precision Fabrication,False,36,0.357,0.616,0,0,0,0,0,0,0,0,0,21.1,LOW
EST-0092,Shakti Manufacturing Corp,Uttar Pradesh,Kanpur,Warehousing & Supply Chain Logistics,False,43,0.463,0.347,1,0,0,0,0,0,0,0,0,45.9,MEDIUM
EST-0093,Shakti Synthetics Ltd,Haryana,Panipat,Electronics & Precision Fabrication,True,160,0.498,0.711,0,4,0,0,1,0,0,0,0,63.0,MEDIUM
EST-0094,Kalyan Enterprises Pvt Ltd,Uttar Pradesh,Kanpur,Electronics & Precision Fabrication,False,41,0.607,0.659,0,0,1,0,0,0,0,0,0,30.8,LOW
EST-0095,Swastik Processing Co.,Gujarat,Vadodara,Automobile & Auto Components,False,79,0.355,0.236,0,0,0,0,0,0,0,0,0,33.5,LOW
EST-0096,Bharat Fabrics & Garments,Maharashtra,Thane,Automobile & Auto Components,True,58,0.227,0.081,1,0,0,0,0,0,0,0,0,44.0,LOW
EST-0097,Zenith Components India,Tamil Nadu,Sriperumbudur,Food Processing & Agro Industries,False,42,0.286,0.285,0,0,0,0,0,0,0,0,0,27.1,LOW
EST-0098,Pinnacle Components India,Maharashtra,Pune,Construction & Infrastructure,True,157,0.808,0.11,6,0,1,0,0,0,0,0,0,98.5,HIGH
EST-0099,Zenith Industries Ltd.,Karnataka,Peenya,"Textile, Garments & Apparel",False,277,0.389,0.678,0,0,0,0,0,0,0,0,0,46.6,MEDIUM
EST-0100,Kalyan Components India,Karnataka,Peenya,Construction & Infrastructure,True,110,0.531,0.157,0,6,0,0,0,0,0,0,0,98.5,HIGH
EST-0101,Vanguard Processing Co.,Karnataka,Bengaluru Urban,Food Processing & Agro Industries,False,57,0.579,0.076,0,0,0,0,0,0,0,0,0,31.8,LOW
EST-0102,Shree Fabrics & Garments,Haryana,Panipat,Chemical & Hazardous Processing,True,28,0.506,0.216,0,2,0,0,0,0,0,0,0,71.6,HIGH
EST-0103,Bharat Engineering Works,Haryana,Gurugram,Construction & Infrastructure,False,14,0.356,0.129,0,0,0,0,0,0,0,0,0,63.8,MEDIUM
EST-0104,Zenith Fabrics & Garments,Haryana,Panipat,Food Processing & Agro Industries,False,361,0.453,0.092,1,0,0,0,0,0,0,0,0,41.8,LOW
EST-0105,Premier Industries Ltd.,Tamil Nadu,Coimbatore,Chemical & Hazardous Processing,True,79,0.463,0.263,0,2,0,0,0,0,0,0,0,72.0,HIGH
EST-0106,Hindustan Fabrics & Garments,Karnataka,Bengaluru Urban,Automobile & Auto Components,True,27,0.429,0.139,0,0,0,0,0,0,0,1,0,39.7,LOW
EST-0107,Shakti Manufacturing Corp,Gujarat,Vadodara,Electronics & Precision Fabrication,False,178,0.565,0.459,0,1,0,0,0,0,0,1,0,34.3,LOW
EST-0108,Surya Manufacturing Corp,Maharashtra,Pune,Chemical & Hazardous Processing,True,22,0.562,0.131,1,3,0,1,0,0,0,1,0,96.3,HIGH
EST-0109,Sterling Enterprises Pvt Ltd,Haryana,Panipat,Warehousing & Supply Chain Logistics,False,166,0.756,0.214,2,0,0,0,0,0,2,0,0,76.9,HIGH
EST-0110,Surya Fabrics & Garments,Haryana,Gurugram,"Textile, Garments & Apparel",False,31,0.516,0.507,0,1,0,0,0,0,0,0,0,53.5,MEDIUM
EST-0111,Surya Processing Co.,Haryana,Gurugram,Warehousing & Supply Chain Logistics,False,29,0.271,0.09,0,0,0,0,0,0,0,0,0,37.2,LOW
EST-0112,Premier Engineering Works,Haryana,Gurugram,Food Processing & Agro Industries,False,199,0.357,0.23,0,0,0,0,0,0,0,0,0,30.1,LOW
EST-0113,Navkar Industries Ltd.,Uttar Pradesh,Kanpur,Construction & Infrastructure,True,605,0.462,0.317,0,0,0,0,0,0,0,0,0,73.9,HIGH
EST-0114,Shree Industries Ltd.,Maharashtra,Thane,Automobile & Auto Components,False,83,0.563,0.235,0,0,1,0,0,0,0,0,0,41.4,LOW
EST-0115,Shakti Engineering Works,Maharashtra,Thane,Chemical & Hazardous Processing,True,68,0.271,0.262,0,4,0,0,0,0,0,0,1,87.2,HIGH
EST-0116,Bharat Synthetics Ltd,Maharashtra,Thane,Electronics & Precision Fabrication,True,150,0.707,0.526,1,0,1,0,0,0,1,0,0,45.6,MEDIUM
EST-0117,Apex Components India,Tamil Nadu,Coimbatore,"Textile, Garments & Apparel",False,47,0.37,0.636,0,0,0,0,0,0,0,0,0,43.5,LOW
EST-0118,Premier Industries Ltd.,Maharashtra,Thane,Food Processing & Agro Industries,False,62,0.587,0.349,0,0,0,0,1,0,0,0,0,43.5,LOW
EST-0119,Bharat Components India,Maharashtra,Pune,Chemical & Hazardous Processing,True,526,0.422,0.349,0,3,0,0,0,0,0,0,0,79.8,HIGH
EST-0120,Kalyan Enterprises Pvt Ltd,Tamil Nadu,Coimbatore,Warehousing & Supply Chain Logistics,False,93,0.27,0.168,0,0,2,0,0,0,0,0,0,47.0,MEDIUM
EST-0121,Tata Processing Co.,Gujarat,Vadodara,Electronics & Precision Fabrication,True,55,0.183,0.414,0,0,0,0,0,0,0,3,0,33.2,LOW
EST-0122,Premier Engineering Works,Haryana,Gurugram,Electronics & Precision Fabrication,True,132,0.221,0.429,0,0,6,0,0,0,0,1,0,61.5,MEDIUM
EST-0123,Premier Industries Ltd.,Maharashtra,Thane,Automobile & Auto Components,False,26,0.335,0.114,0,0,0,0,0,0,0,0,0,31.5,LOW
EST-0124,Surya Components India,Gujarat,Surat,Construction & Infrastructure,False,90,0.624,0.213,0,0,0,0,0,0,0,0,0,67.2,MEDIUM
EST-0125,Delta Synthetics Ltd,Maharashtra,Pune,Electronics & Precision Fabrication,False,111,0.667,0.696,1,0,0,0,0,0,0,0,0,31.0,LOW
EST-0126,Navkar Manufacturing Corp,Haryana,Panipat,Food Processing & Agro Industries,False,80,0.805,0.11,2,0,0,0,0,0,0,0,0,49.9,MEDIUM
EST-0127,Kalyan Enterprises Pvt Ltd,Maharashtra,Thane,Chemical & Hazardous Processing,False,57,0.491,0.145,0,0,0,0,0,0,0,0,0,59.0,MEDIUM
EST-0128,Navkar Manufacturing Corp,Uttar Pradesh,Kanpur,Warehousing & Supply Chain Logistics,False,162,0.771,0.293,0,0,0,0,0,0,0,0,0,43.7,LOW
EST-0129,Pinnacle Processing Co.,Uttar Pradesh,Kanpur,Warehousing & Supply Chain Logistics,False,125,0.572,0.315,0,0,0,0,0,0,0,0,0,42.4,LOW
EST-0130,Bharat Synthetics Ltd,Maharashtra,Pune,Chemical & Hazardous Processing,True,55,0.186,0.246,0,0,4,0,0,0,0,0,0,80.3,HIGH
EST-0131,Navkar Engineering Works,Uttar Pradesh,Noida,Chemical & Hazardous Processing,True,30,0.31,0.194,0,0,0,0,0,0,0,0,0,63.2,MEDIUM
EST-0132,Kalyan Manufacturing Corp,Gujarat,Surat,Automobile & Auto Components,True,60,0.228,0.219,1,1,0,0,0,0,0,0,0,53.2,MEDIUM
EST-0133,Delta Engineering Works,Uttar Pradesh,Noida,Electronics & Precision Fabrication,False,78,0.346,0.637,0,1,3,0,0,0,0,0,0,49.9,MEDIUM
EST-0134,Surya Fabrics & Garments,Haryana,Gurugram,"Textile, Garments & Apparel",False,31,0.268,0.582,0,1,0,0,0,0,0,0,0,51.7,MEDIUM
EST-0135,Hindustan Fabrics & Garments,Maharashtra,Thane,Automobile & Auto Components,False,172,0.584,0.235,0,0,0,0,0,0,0,0,0,37.3,LOW
EST-0136,Delta Enterprises Pvt Ltd,Gujarat,Surat,Chemical & Hazardous Processing,True,26,0.304,0.183,0,0,0,0,0,0,0,1,0,63.2,MEDIUM
EST-0137,Bharat Manufacturing Corp,Karnataka,Bengaluru Urban,Food Processing & Agro Industries,False,156,0.305,0.087,0,0,1,0,0,0,0,1,0,41.0,LOW
EST-0138,Navkar Industries Ltd.,Uttar Pradesh,Kanpur,Automobile & Auto Components,False,66,0.582,0.056,0,0,2,0,0,0,0,0,0,43.4,LOW
EST-0139,Swastik Components India,Uttar Pradesh,Kanpur,Warehousing & Supply Chain Logistics,False,75,0.472,0.35,0,0,0,0,0,0,0,0,0,38.7,LOW
EST-0140,Pinnacle Fabrics & Garments,Gujarat,Surat,Warehousing & Supply Chain Logistics,False,24,0.341,0.292,0,0,0,0,0,0,0,0,0,44.0,LOW
EST-0141,Kalyan Components India,Gujarat,Surat,Construction & Infrastructure,False,186,0.619,0.332,0,1,0,0,0,0,0,0,0,74.3,HIGH
EST-0142,Shree Engineering Works,Uttar Pradesh,Noida,Chemical & Hazardous Processing,True,35,0.667,0.305,3,5,3,0,0,0,0,0,0,98.5,HIGH
EST-0143,Premier Manufacturing Corp,Haryana,Gurugram,Food Processing & Agro Industries,False,31,0.514,0.051,1,1,0,0,0,0,0,0,0,43.6,LOW
EST-0144,Tata Synthetics Ltd,Maharashtra,Pune,Food Processing & Agro Industries,True,181,0.145,0.144,1,0,3,0,0,0,0,0,0,50.6,MEDIUM
EST-0145,Tata Manufacturing Corp,Haryana,Panipat,Chemical & Hazardous Processing,True,67,0.226,0.16,0,2,0,3,0,0,0,0,0,80.2,HIGH
EST-0146,Shakti Processing Co.,Uttar Pradesh,Kanpur,Automobile & Auto Components,False,55,0.251,0.248,0,0,1,0,0,0,0,0,0,37.6,LOW
EST-0147,Tata Synthetics Ltd,Gujarat,Surat,Electronics & Precision Fabrication,True,124,0.839,0.717,0,0,1,0,0,0,0,0,0,28.4,LOW
EST-0148,Hindustan Manufacturing Corp,Haryana,Panipat,Automobile & Auto Components,False,43,0.325,0.149,0,0,0,0,0,0,0,0,0,34.2,LOW
EST-0149,Kalyan Processing Co.,Haryana,Panipat,Chemical & Hazardous Processing,True,282,0.355,0.098,1,0,0,0,0,0,0,0,0,77.3,HIGH
EST-0150,Delta Enterprises Pvt Ltd,Tamil Nadu,Coimbatore,Construction & Infrastructure,True,223,0.788,0.312,2,1,0,0,0,0,1,0,0,92.1,HIGH
EST-0151,Delta Processing Co.,Tamil Nadu,Coimbatore,Food Processing & Agro Industries,False,80,0.177,0.12,0,0,0,0,0,0,0,0,0,31.2,LOW
EST-0152,Shakti Industries Ltd.,Maharashtra,Thane,Construction & Infrastructure,True,18,0.54,0.335,0,0,0,0,0,0,0,0,0,61.9,MEDIUM
EST-0153,Bharat Synthetics Ltd,Uttar Pradesh,Noida,"Textile, Garments & Apparel",False,45,0.656,0.572,0,0,0,0,1,0,0,0,0,54.5,MEDIUM
EST-0154,Shakti Industries Ltd.,Gujarat,Vadodara,Automobile & Auto Components,False,143,0.661,0.209,4,0,0,0,0,0,0,0,0,68.1,MEDIUM
EST-0155,Pinnacle Components India,Karnataka,Peenya,Food Processing & Agro Industries,False,60,0.328,0.291,1,0,0,0,0,0,0,0,0,38.9,LOW
EST-0156,Tata Fabrics & Garments,Tamil Nadu,Sriperumbudur,"Textile, Garments & Apparel",False,12,0.301,0.666,0,0,0,0,0,0,0,0,0,45.3,MEDIUM
EST-0157,Bharat Enterprises Pvt Ltd,Haryana,Gurugram,Electronics & Precision Fabrication,False,111,0.282,0.642,1,1,1,0,0,0,0,0,0,42.4,LOW
EST-0158,Apex Components India,Uttar Pradesh,Kanpur,Chemical & Hazardous Processing,True,223,0.147,0.311,0,0,0,0,0,0,0,0,0,60.8,MEDIUM
EST-0159,Navkar Processing Co.,Uttar Pradesh,Kanpur,"Textile, Garments & Apparel",False,18,0.341,0.595,1,0,0,0,0,0,2,0,0,70.8,HIGH
EST-0160,Sterling Enterprises Pvt Ltd,Haryana,Panipat,Electronics & Precision Fabrication,False,149,0.244,0.588,0,0,0,0,0,0,0,0,0,27.6,LOW
EST-0161,Hindustan Synthetics Ltd,Uttar Pradesh,Noida,Automobile & Auto Components,False,35,0.432,0.325,0,0,2,0,0,0,0,0,0,48.2,MEDIUM
EST-0162,Shree Enterprises Pvt Ltd,Tamil Nadu,Sriperumbudur,Chemical & Hazardous Processing,True,86,0.365,0.081,0,0,0,0,0,0,0,0,0,62.0,MEDIUM
